Date,StoreName,Item,Category,Quantity,UnitPrice
2025/04/13,store_b,T-shirt,Tops,3,2500
2025/04/02,store_b,Hoodie,Tops,3,4800
2025/04/26,store_b,Socks,Accessories,1,900
2025/04/23,store_b,T-shirt,Tops,4,2500
2025/04/20,store_b,Jeans,Bottoms,1,5200
2025/04/27,store_b,Hoodie,Tops,2,4800
2025/04/25,store_b,Shorts,Bottoms,1,3900
2025/04/09,store_b,Shorts,Bottoms,4,3900
2025/04/17,store_b,Socks,Accessories,1,900
2025/04/04,store_b,Cap,Accessories,2,1800
2025/04/21,store_b,Cap,Accessories,2,1800
2025/04/25,store_b,Bag,Accessories,4,3600
2025/04/28,store_b,Hoodie,Tops,3,4800
2025/04/18,store_b,Cap,Accessories,5,1800
2025/04/19,store_b,Socks,Accessories,5,900
2025/04/08,store_b,Socks,Accessories,3,900
2025/04/19,store_b,Socks,Accessories,2,900
2025/04/20,store_b,Cap,Accessories,1,1800
2025/04/11,store_b,Shorts,Bottoms,5,3900
2025/04/06,store_b,Hoodie,Tops,5,4800
2025/04/04,store_b,Shorts,Bottoms,1,3900
2025/04/13,store_b,Bag,Accessories,1,3600
2025/04/15,store_b,Cap,Accessories,1,1800
2025/04/14,store_b,T-shirt,Tops,1,2500
2025/04/19,store_b,Shorts,Bottoms,4,3900
2025/04/30,store_b,Socks,Accessories,5,900
2025/04/13,store_b,Cap,Accessories,3,1800
2025/04/24,store_b,Shorts,Bottoms,4,3900
2025/04/30,store_b,Shorts,Bottoms,2,3900
2025/04/02,store_b,Shorts,Bottoms,1,3900
2025/04/21,store_b,Shorts,Bottoms,4,3900
2025/04/13,store_b,Bag,Accessories,4,3600
2025/04/23,store_b,Hoodie,Tops,4,4800
2025/04/13,store_b,Jeans,Bottoms,4,5200
2025/04/26,store_b,Cap,Accessories,4,1800
2025/04/03,store_b,Bag,Accessories,4,3600
2025/04/22,store_b,T-shirt,Tops,4,2500
2025/04/09,store_b,Jeans,Bottoms,5,5200
2025/04/25,store_b,Hoodie,Tops,3,4800
2025/04/25,store_b,Jeans,Bottoms,1,5200
